QuoteNumber,QuoteConversion_Flag
3,0.000117936397146
5,0.0143184447661
7,0.0155937960371
9,0.00315656932071
10,0.29435005784
11,0.0140410261229
15,2.07809880521e-05
16,0.00855670403689
17,9.58696546149e-06
21,2.81287793769e-06
23,0.0156653113663
24,0.32479301095
27,7.5995521911e-06
31,0.219614520669
33,0.0380608513951
34,0.047715999186
36,7.90761841927e-05
39,2.91840151476e-05
42,0.0605999156833
43,0.106842204928
46,0.0221204217523
48,0.0710138306022
49,0.223329544067
52,0.0434076972306
54,0.824214041233
55,0.662203013897
56,0.997571408749
58,0.0172887574881
60,1.37210381581e-05
61,0.0104485023767
63,0.381406992674
67,0.0635196939111
68,2.12706800085e-05
69,0.625661373138
75,5.43857495359e-05
81,0.011766731739
82,0.178355380893
98,0.125215500593
100,0.00907827913761
107,0.36664557457
108,0.988108217716
110,0.00850930716842
113,0.00872533395886
115,9.64631472016e-05
116,0.0913278385997
119,0.0369025915861
120,0.0108992727473
122,1.42237722685e-05
125,0.999270379543
130,5.16690088261e-05
132,0.132841899991
135,0.00138420658186
137,0.0149065181613
138,0.102980703115
144,0.000801683985628
145,0.055620841682
146,0.0110399508849
150,0.0419765524566
155,0.00126620079391
158,0.0169763788581
159,1.8635088054e-05
160,6.51099471725e-05
162,0.0794555470347
163,3.00391184282e-05
164,2.43703270826e-05
165,4.37081434939e-05
168,0.0156225599349
172,0.0402336530387
173,0.980701863766
174,0.0144506776705
175,0.00195549754426
176,0.154528260231
178,1.74265442183e-05
181,0.00105605332647
183,4.11596120102e-05
190,0.56103181839
198,7.64175129007e-05
200,0.00339419860393
201,3.57949829777e-05
204,0.132305294275
205,0.636449277401
207,0.999984622002
210,0.0429135635495
211,0.997071862221
213,0.000448787002824
215,0.000172729924088
218,5.10645004397e-05
222,2.29072497859e-06
223,0.0351779423654
227,0.996366977692
228,3.44409163517e-05
231,0.653393924236
238,0.0374562107027
241,0.000530659744982
245,0.0011281213956
253,2.21803952627e-06
257,0.592721045017
263,0.0260050110519
264,6.29046771792e-05
265,2.30493583331e-06
274,0.00329831428826
275,0.47795176506
276,0.0449158586562
279,0.0529428124428
280,1.30229664137e-05
282,0.0173568353057
283,0.324848562479
285,0.354017883539
289,0.0140781868249
290,0.00455429730937
292,0.299236029387
294,0.999376833439
301,0.99769115448
304,0.0055575883016
307,9.36708311201e-05
309,0.295072048903
310,5.70849369979e-05
311,0.000150012958329
312,2.48444594035e-05
314,0.0058373673819
316,4.50222651125e-05
318,0.999634742737
321,0.00236506946385
326,8.18581829662e-05
330,1.06985189632e-05
331,1.93709620362e-05
332,0.0106671992689
333,0.000142818913446
337,0.952053248882
338,0.00677021592855
339,0.0166322048753
340,4.01728830184e-05
344,0.554683089256
346,0.196586340666
348,6.754862261e-05
349,0.0106503255665
350,0.0939854308963
351,9.90673925116e-06
352,6.50824449622e-06
355,0.0644170790911
358,2.00552531169e-05
361,0.0226203016937
363,0.0426689833403
364,0.999430954456
365,3.29142385453e-05
366,0.000180069211638
367,2.10070029425e-05
368,0.340145170689
371,0.996703565121
374,0.999444544315
378,0.000108262844151
380,0.0367555506527
382,0.999689817429
385,0.0444525852799
390,0.155202031136
393,4.44469551439e-05
401,0.069842249155
402,0.000107031373773
403,0.0254604574293
407,3.31017217832e-05
408,0.198395296931
409,0.0223657079041
410,8.44989554025e-05
412,1.96275777853e-05
416,0.0011133007938
424,3.90782224713e-05
425,8.1232528828e-06
427,0.553925454617
430,4.59804368802e-06
438,4.44222059741e-05
439,0.412677764893
441,0.005423580762
447,0.989528477192
449,0.999666690826
452,0.127250120044
453,1.081433129e-05
457,0.457132846117
464,3.22337764374e-05
465,0.370460420847
467,0.672591865063
468,3.8788252823e-06
469,0.0290310531855
470,2.01848633878e-05
473,0.0226835664362
474,0.0001411143312
475,0.00921972282231
476,0.0539723448455
479,0.0198411718011
480,7.50719627831e-05
481,0.0202070251107
484,0.0299848746508
487,0.0244267359376
494,5.27602860529e-05
495,0.000191629995243
496,0.000159202958457
498,3.51976959792e-05
500,0.000624741485808
504,9.33708815865e-06
505,6.68753200443e-05
512,0.172922089696
513,0.0141906263307
516,0.428094506264
519,0.0263190735132
525,0.0549939908087
527,0.000599530700129
530,0.105800971389
532,0.981790304184
536,0.999931454659
539,0.00132332672365
541,0.00536927441135
542,0.000138543764479
543,0.997628986835
544,0.0328386425972
547,0.327245891094
551,0.00275126076303
552,0.060263376683
555,0.993877828121
557,0.00178241101094
563,4.54186119896e-05
568,3.29832691932e-05
569,5.62125133001e-05
571,0.00341705325991
574,4.64561853732e-05
575,0.999646306038
580,1.28688898258e-05
581,0.13189612329
595,0.0403152257204
598,1.36193903018e-05
599,4.74010121252e-05
600,0.500162422657
602,6.68197317282e-05
603,0.000286763563054
609,2.74517115031e-05
611,0.0603205859661
614,0.158882156014
615,0.00367255066521
620,6.78852256897e-06
624,1.0526801816e-05
625,4.87608267576e-05
628,0.00140747916885
633,0.0913524329662
640,2.00903778023e-05
642,0.986470043659
646,0.996537685394
648,0.0053317528218
652,3.03280853586e-06
656,6.43539715384e-06
657,0.0741548389196
658,0.0330824777484
659,0.000140519099659
663,0.0134944859892
664,0.0494308806956
668,0.230287775397
669,1.19894048112e-05
671,0.0734497308731
673,0.999195039272
675,0.00012479632278
677,0.104080595076
684,0.0166708156466
686,0.000985060818493
